country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap
FIN,2001,61088.1,0.4235407246356168,3164.4,2.4894873339885764,100.0,6932.961862,6647.129013,0.45252798450547266,0.227687341886374,129533107311.81119,25850.0,5188008,4273258,7.295052365474901,11.774866191416821
FIN,2002,63439.7,0.4264459819787724,3295.0,5.765183993000314,100.0,6676.111651,6732.867656,0.40614695853534477,0.242381050233372,140404460203.1375,25620.0,5200598,4290649,7.341015791720016,12.198539475652607
FIN,2003,71708.1,0.47346606898958155,3178.0,3.4752603864138107,100.0,6442.940629,6847.108383,0.4019738903549264,0.238457240068217,171652458349.4114,28800.0,5213014,4307931,7.373846810466529,13.755593213446195
FIN,2004,67682.9,0.41490404700550515,3210.6,3.431798877424074,100.0,6208.268706,6944.259266,0.4523715607779706,0.290350361518584,197479443979.1511,35380.0,5228172,4327463,7.396828523589087,12.945805914572052
FIN,2005,55460.2,0.32983205064637766,3422.9,5.304331908580781,100.0,5920.490345,7008.333297,0.5027936406284335,0.342248594286999,204885494686.38123,40230.0,5246096,4349276,7.465117042581832,10.571708943183655
FIN,2006,67024.9,0.36940897084680474,3293.8,2.1367826216286794,100.0,6007.323716,6895.842642,0.5428672778818722,0.383777136305104,217089269791.7644,42840.0,5266268,4372951,7.565683469797113,12.727210236926794
FIN,2007,65102.7,0.32528311818230415,3654.7,8.573025141102821,100.0,5821.540622,6933.414904,0.5830735506616441,0.425429832100631,256378067752.15768,46190.0,5288720,4398523,7.546778914137262,12.30972711733652
FIN,2008,56660.1,0.26603399332097905,3542.3,6.792284305355034,100.0,5698.67051,7106.35399,0.6229246376073493,0.465549284507694,285716311136.7187,50160.0,5313399,4426008,7.556433037183284,10.66362605179848
FIN,2009,54180.9,0.2672550170495249,3760.4,-3.4816211239304513,100.0,5583.25868,6143.620542,0.6342013390992738,0.478246393482911,253497520828.51544,48950.0,5338871,4454167,7.556762092793683,10.148381558572964
FIN,2010,62526.4,0.2992744815422312,3135.3,4.899686358623776,100.0,5677.989809,5708.539665,0.8653858999230027,0.457494535465831,249424310816.6731,49750.0,5363352,4492880,7.541625534715367,11.658082482745867
FIN,2011,55123.4,0.2500255638501399,3521.7,-2.179936953364986,100.0,5478.672925,5608.95415,1.1096746918039648,0.463558707499131,275604356167.3176,50260.0,5388272,4543014,7.52443318305966,10.230255636686492
FIN,2012,49408.1,0.2232773659052811,3533.6,1.9091291746322778,100.0,5471.324347,5641.169159,1.100086715735271,0.475809486683209,258290060227.73444,48970.0,5413971,4593267,7.519497186481951,9.126037062259845
FIN,2013,50191.3,0.22240026621884193,3689.5,-1.8139135789147418,100.0,5342.028684,5738.967648,0.7949133668869377,0.460723772785295,271362405890.59116,49510.0,5438972,4629925,7.431965513837244,9.228085748556898
